Rat, 2020, 1996, 1984, 2008
Ox, 1997, 2009, 1985, 2021
Tiger, 1998, 1986, 2022, 2010
Rabbit, 1999, 2011, 2023, 1987
Dragon, 1988, 2000, 2012, 2024
Snake, 2025, 1989, 2013, 2001
Horse, 1990, 2026, 2014, 2002
Goat, 2015, 2027, 1991, 2003
Monkey, 2004, 2016, 2028, 1992
Rooster, 1981, 2017, 2005, 1993
Dog, 2018, 1982, 1994, 2006
Pig, 1983, 2019, 2007, 1995
